all_input_global_sketches_complete,case,first_segment_slope,grandparent_boundaries,independent_inputs_capacity_violations,independent_inputs_crossfile_duplicate_rows,independent_inputs_files,independent_inputs_invalid_ranges,independent_inputs_invented_keys,independent_inputs_library_distinct_union,independent_inputs_library_invented_keys,independent_inputs_library_missing_original_keys,independent_inputs_library_perfile_distinct_sum,independent_inputs_library_raw_vector_rows,independent_inputs_library_unique_vs_stream_disagree_files,independent_inputs_library_within_file_duplicates,independent_inputs_missing_original_keys,independent_inputs_output_ranges,independent_inputs_overlapping_range_pairs,independent_inputs_planned_entries,independent_inputs_stream_distinct_union,independent_inputs_stream_reference_drop,independent_inputs_stream_reference_rows,input_entry_sum,input_files,input_plr_segments,kmv_range_buckets,kmv_samples,kmv_union_error,kmv_union_estimate,merged_segments,merged_target,path,plr_error,raw_split_capacity_violations,raw_split_crossfile_duplicate_rows,raw_split_files,raw_split_invalid_ranges,raw_split_invented_keys,raw_split_library_distinct_union,raw_split_library_invented_keys,raw_split_library_missing_original_keys,raw_split_library_perfile_distinct_sum,raw_split_library_raw_vector_rows,raw_split_library_unique_vs_stream_disagree_files,raw_split_library_within_file_duplicates,raw_split_missing_original_keys,raw_split_output_ranges,raw_split_overlapping_range_pairs,raw_split_planned_entries,raw_split_stream_distinct_union,raw_split_stream_reference_drop,raw_split_stream_reference_rows,record_type,sst_target_entries,this_path_target,trimmed_split_capacity_violations,trimmed_split_crossfile_duplicate_rows,trimmed_split_files,trimmed_split_invalid_ranges,trimmed_split_invented_keys,trimmed_split_library_distinct_union,trimmed_split_library_invented_keys,trimmed_split_library_missing_original_keys,trimmed_split_library_perfile_distinct_sum,trimmed_split_library_raw_vector_rows,trimmed_split_library_unique_vs_stream_disagree_files,trimmed_split_library_within_file_duplicates,trimmed_split_missing_original_keys,trimmed_split_output_ranges,trimmed_split_overlapping_range_pairs,trimmed_split_planned_entries,trimmed_split_stream_distinct_union,trimmed_split_stream_reference_drop,trimmed_split_stream_reference_rows,true_union,unsplit_capacity_violations,unsplit_crossfile_duplicate_rows,unsplit_files,unsplit_invalid_ranges,unsplit_invented_keys,unsplit_library_distinct_union,unsplit_library_invented_keys,unsplit_library_missing_original_keys,unsplit_library_perfile_distinct_sum,unsplit_library_raw_vector_rows,unsplit_library_unique_vs_stream_disagree_files,unsplit_library_within_file_duplicates,unsplit_missing_original_keys,unsplit_output_ranges,unsplit_overlapping_range_pairs,unsplit_planned_entries,unsplit_stream_distinct_union,unsplit_stream_reference_drop,unsplit_stream_reference_rows
0,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,512,0,16384,5,16384,kmv_merge,1,2,0,18,0,0,16381,0,3,16381,16384,0,3,3,,0,16384,16381,3,16381,pipeline,512,16384,2,0,18,0,0,16381,0,3,16381,16384,0,3,3,,0,16384,16381,3,16381,16384,0,0,1,0,0,16383,0,1,16383,16384,0,1,1,,0,16384,16383,1,16383
0,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,512,0,16384,1,16384,exact_union_refit_control,1,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
0,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,5,16384,kmv_merge,8,2,0,32,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,pipeline,512,16384,2,0,32,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,16384,0,0,1,0,0,16381,0,3,16381,16384,0,3,3,,0,16384,16381,3,16381
0,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,1,16384,exact_union_refit_control,8,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
0,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,5,16384,kmv_merge,8,2,0,18,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,pipeline,512,16384,2,0,18,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,16384,0,0,1,0,0,16381,0,3,16381,16384,0,3,3,,0,16384,16381,3,16381
0,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,1,16384,exact_union_refit_control,8,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
0,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,5,16384,kmv_merge,1,2,0,32,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,pipeline,512,16384,2,0,32,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,16384,0,0,1,0,0,16381,0,3,16381,16384,0,3,3,,0,16384,16381,3,16381
0,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,1,16384,exact_union_refit_control,1,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
0,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,5,16384,kmv_merge,1,2,0,18,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,pipeline,512,16384,2,0,18,0,0,16379,0,5,16379,16384,0,5,5,,0,16384,16379,5,16379,16384,0,0,1,0,0,16381,0,3,16381,16384,0,3,3,,0,16384,16381,3,16381
0,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,2048,0,16384,1,16384,exact_union_refit_control,1,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
1,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,3,16384,kmv_merge,8,1,0,32,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,pipeline,512,16384,1,0,32,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,16384,0,0,1,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382
1,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,1,16384,exact_union_refit_control,8,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
1,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,3,16384,kmv_merge,8,1,0,18,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,pipeline,512,16384,1,0,18,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,16384,0,0,1,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382
1,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,1,16384,exact_union_refit_control,8,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
1,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,3,16384,kmv_merge,1,1,0,32,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,pipeline,512,16384,1,0,32,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,16384,0,0,1,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382
1,disjoint_interleaved,,0,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,1,16384,exact_union_refit_control,1,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,32,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
1,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,3,16384,kmv_merge,1,1,0,18,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,pipeline,512,16384,1,0,18,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382,16384,0,0,1,0,0,16382,0,2,16382,16384,0,2,2,,0,16384,16382,2,16382
1,disjoint_interleaved,,4,0,0,4,0,0,16384,0,0,16384,16384,0,0,0,,6,16384,16384,0,16384,16384,4,4,8,16384,0,16384,1,16384,exact_union_refit_control,1,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,pipeline,512,16384,0,0,18,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384,16384,0,0,1,0,0,16384,0,0,16384,16384,0,0,0,,0,16384,16384,0,16384
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,5,8318,kmv_merge,8,17,0,17,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,pipeline,512,8318,17,0,17,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,8192,1,0,1,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,1,8318,exact_union_refit_control,8,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
0,uniform_50,,4,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,5,8318,kmv_merge,8,10,0,10,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,pipeline,512,8318,10,0,10,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,8192,1,0,1,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192
0,uniform_50,,4,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,1,8318,exact_union_refit_control,8,0,0,10,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,10,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,5,8318,kmv_merge,1,17,0,17,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,pipeline,512,8318,17,0,17,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,8192,1,0,1,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,1,8318,exact_union_refit_control,1,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
0,uniform_50,,4,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,5,8318,kmv_merge,1,10,0,10,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,pipeline,512,8318,10,0,10,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192,8192,1,0,1,0,0,8192,0,0,8192,8318,0,126,0,,0,8318,8192,126,8192
0,uniform_50,,4,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,512,126,8318,1,8318,exact_union_refit_control,1,0,0,10,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,10,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,2048,-18,8174,5,8174,kmv_merge,8,2,0,16,0,0,8166,0,26,8166,8174,0,8,26,,0,8174,8166,8,8166,pipeline,512,8174,2,0,16,0,0,8166,0,26,8166,8174,0,8,26,,0,8174,8166,8,8166,8192,0,0,1,0,0,8169,0,23,8169,8174,0,5,23,,0,8174,8169,5,8169
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,2048,-18,8174,1,8174,exact_union_refit_control,8,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
0,uniform_50,,4,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,2048,-18,8174,5,8174,kmv_merge,8,2,0,10,0,0,8167,0,25,8167,8174,0,7,25,,0,8174,8167,7,8167,pipeline,512,8174,2,0,10,0,0,8167,0,25,8167,8174,0,7,25,,0,8174,8167,7,8167,8192,0,0,1,0,0,8169,0,23,8169,8174,0,5,23,,0,8174,8169,5,8169
0,uniform_50,,4,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,2048,-18,8174,1,8174,exact_union_refit_control,8,0,0,10,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,10,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,2048,-18,8174,5,8174,kmv_merge,1,2,0,16,0,0,8166,0,26,8166,8174,0,8,26,,0,8174,8166,8,8166,pipeline,512,8174,2,0,16,0,0,8166,0,26,8166,8174,0,8,26,,0,8174,8166,8,8166,8192,0,0,1,0,0,8169,0,23,8169,8174,0,5,23,,0,8174,8169,5,8169
0,uniform_50,,0,0,8192,4,0,0,8192,0,0,16384,16384,0,0,0,,6,16384,8192,0,16384,16384,4,4,8,2048,-18,8174,1,8174,exact_union_refit_control,1,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,pipeline,512,8192,0,0,16,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192,8192,0,0,1,0,0,8192,0,0,8192,8192,0,0,0,,0,8192,8192,0,8192
